iter	Logloss
0	0.4707346579
1	0.3626852453
2	0.3003202836
3	0.2710887262
4	0.251321761
5	0.2393156794
6	0.226844132
7	0.2161574052
8	0.2054762068
9	0.200568137
10	0.1935852615
11	0.1902480018
12	0.1848532326
13	0.1770468605
14	0.1734721026
15	0.1702317278
16	0.1678635607
17	0.1640623027
18	0.1596574698
19	0.1557504325
20	0.1522596335
21	0.1500654805
22	0.1469344734
23	0.1440214563
24	0.1400293911
25	0.1372996231
26	0.1356277085
27	0.1333517637
28	0.1296901799
29	0.1272031904
30	0.1233795
31	0.1221070801
32	0.120480211
33	0.118923279
34	0.116939233
35	0.1159223632
36	0.1148173661
37	0.1127740042
38	0.1118505082
39	0.1090357762
40	0.106565067
41	0.1055349711
42	0.1029448146
43	0.1014947128
44	0.0997713468
45	0.09742525092
46	0.09589854931
47	0.09435151332
48	0.09290444046
49	0.09056697384
50	0.08963198956
51	0.08842761616
52	0.08653241107
53	0.08461684002
54	0.0835011803
55	0.08223198229
56	0.08131477114
57	0.07973402117
58	0.07889393073
59	0.0770451321
60	0.07583852311
61	0.07424371598
62	0.07233941424
63	0.07167972682
64	0.07020659965
65	0.06950324813
66	0.06872709864
67	0.0674729453
68	0.0668625691
69	0.06600622875
70	0.06506964089
71	0.06418960774
72	0.06355663244
73	0.06219209004
74	0.06146521358
75	0.06071911187
76	0.05939742833
77	0.05886592042
78	0.05756499917
79	0.05691815842
80	0.05645187475
81	0.05539262697
82	0.05472609838
83	0.05413526679
84	0.05326124837
85	0.05244654304
86	0.05120052418
87	0.05059461452
88	0.05011090028
89	0.04933800553
90	0.04867162822
91	0.04791275389
92	0.04735561646
93	0.04673492171
94	0.04631215695
95	0.04529165299
96	0.04480197513
97	0.04424872962
98	0.0436303963
99	0.04303266253
100	0.04259125809
101	0.04226800305
102	0.04157849286
103	0.04106392603
104	0.0405923916
105	0.04023407134
106	0.04000137785
107	0.03946311439
108	0.03877507787
109	0.03841106772
110	0.03769899464
111	0.03716331184
112	0.03684187494
113	0.03645893869
114	0.03611885614
115	0.03566563546
116	0.03510755013
117	0.03467399504
118	0.03409683851
119	0.03365000513
120	0.0332144021
121	0.03287013932
122	0.03259222349
123	0.03232685789
124	0.03214176315
125	0.0317831397
126	0.03102874569
127	0.03064920759
128	0.03020853756
129	0.02983398456
130	0.02956446144
131	0.02932022382
132	0.02893957184
133	0.0287411724
134	0.02835783639
135	0.02808325528
136	0.02777483665
137	0.02739464045
138	0.02715166584
139	0.02676108772
140	0.02649263978
141	0.02611550828
142	0.02585154811
143	0.02550219243
144	0.02530981715
145	0.02488175894
146	0.02463126679
147	0.02425064326
148	0.02377755119
149	0.02360183557
150	0.02331897971
151	0.02311159799
152	0.02288765644
153	0.02255244029
154	0.02241647662
155	0.0222141746
156	0.02196602214
157	0.02180096948
158	0.02158717332
159	0.02141402241
160	0.02124258779
161	0.02107931248
162	0.02086985255
163	0.02071170808
164	0.02053847644
165	0.02023656706
166	0.02010734614
167	0.01993639713
168	0.01978324504
169	0.01953757096
170	0.01928231922
171	0.01915565067
172	0.01904321133
173	0.01896085776
174	0.01885567208
175	0.01876124263
176	0.01867334699
177	0.01859926366
178	0.0185024953
179	0.01841465111
180	0.01827075569
181	0.01816750139
182	0.01795638821
183	0.01776536727
184	0.01763530557
185	0.01750232201
186	0.01719879581
187	0.01714620968
188	0.01697650493
189	0.01682703941
190	0.01674256899
191	0.01658737801
192	0.01642808503
193	0.01633656482
194	0.0162244074
195	0.01612831718
196	0.01600444517
197	0.01577455371
198	0.01560382339
199	0.01548638718
